state,numcol,yieldpercol,totalprod,year,StateName,nAllNeonic
VT,5000,64,320000,2007,Vermont,1019.7
VT,5000,66,330000,2008,Vermont,512.0
VT,6000,52,312000,2016,Vermont,113.0
VT,6000,56,336000,2006,Vermont,683.0
VT,6000,64,384000,1998,Vermont,3.2
VT,6000,66,396000,1999,Vermont,14.4
VT,6000,68,408000,2004,Vermont,307.3
VT,6000,91,546000,2005,Vermont,1319.7
VT,7000,59,413000,2000,Vermont,41.6
VT,7000,81,567000,2001,Vermont,69.8
VT,7000,83,581000,2003,Vermont,22.9
VT,7000,89,623000,2002,Vermont,39.7
WA,57000,58,3306000,1996,Washington,4718.4
WA,60000,52,3120000,1997,Washington,16320.3
WA,60000,59,3540000,1995,Washington,3186.6
WA,60000,62,3720000,1994,Washington,943.2
WA,46000,44,2024000,2007,Washington,21715.4
WA,48000,52,2496000,2001,Washington,6781.8
WA,49000,44,2156000,2008,Washington,16467.1
WA,49000,52,2548000,2006,Washington,13220.6
WA,50000,51,2550000,2002,Washington,9414.3
WA,51000,55,2805000,2005,Washington,20763.1
WA,52000,50,2600000,1999,Washington,3698.9
WA,52000,54,2808000,2000,Washington,10588.6
WA,56000,63,3528000,2004,Washington,15616.6
WA,58000,51,2958000,1998,Washington,24933.7
WA,58000,56,3248000,2003,Washington,13587.0
WA,62000,41,2542000,2012,Washington,48557.1
WA,62000,44,2728000,2009,Washington,27783.0
WA,68000,44,2992000,2014,Washington,43536.0
WA,69000,39,2691000,2013,Washington,45495.5
WA,71000,37,2627000,2010,Washington,30144.5
WA,71000,38,2698000,2011,Washington,39097.3
WA,73000,44,3212000,2015,Washington,31717.8
WA,84000,35,2940000,2016,Washington,28020.5
WI,69000,78,5382000,1996,Wisconsin,4545.6
WI,73000,79,5767000,1995,Wisconsin,894.0
WI,79000,60,4740000,1997,Wisconsin,4965.0
WI,52000,67,3484000,2015,Wisconsin,12152.3
WI,53000,54,2862000,2014,Wisconsin,81672.0
WI,54000,62,3348000,2016,Wisconsin,7281.6
WI,57000,63,3591000,2011,Wisconsin,46319.7
WI,58000,80,4640000,2008,Wisconsin,40569.4
WI,59000,60,3540000,2013,Wisconsin,78048.2
WI,60000,69,4140000,2012,Wisconsin,65194.8
WI,60000,84,5040000,2007,Wisconsin,22908.3
WI,63000,60,3780000,2009,Wisconsin,46176.9
WI,64000,64,4096000,2010,Wisconsin,41770.4
WI,64000,83,5312000,2005,Wisconsin,17162.5
WI,64000,93,5952000,2006,Wisconsin,20180.0
WI,67000,81,5427000,2001,Wisconsin,6313.5
WI,68000,86,5848000,2004,Wisconsin,12601.9
WI,70000,95,6650000,2002,Wisconsin,4335.7
WI,74000,77,5698000,2003,Wisconsin,5214.2
WI,80000,75,6.00E+06,1999,Wisconsin,3660.9
WI,84000,90,7560000,2000,Wisconsin,9522.6
WI,89000,91,8099000,1998,Wisconsin,4283.2
WV,8000,70,560000,1997,West Virginia,144.8
WV,10000,59,590000,1996,West Virginia,515.4
WV,13000,41,533000,1995,West Virginia,322.0
WV,4000,53,212000,2011,West Virginia,1216.0
WV,5000,32,160000,2016,West Virginia,520.000000000001
WV,5000,35,175000,2015,West Virginia,1132.8
WV,5000,37,185000,2009,West Virginia,921.7
WV,5000,40,2.00E+05,2010,West Virginia,866.3
WV,6000,31,186000,2014,West Virginia,2652.0
WV,6000,39,234000,1999,West Virginia,251.2
WV,6000,42,252000,2006,West Virginia,683.9
WV,6000,43,258000,2008,West Virginia,791.2
WV,6000,46,276000,2013,West Virginia,1631.8
WV,6000,48,288000,2007,West Virginia,849.5
WV,6000,48,288000,2012,West Virginia,1751.5
WV,6000,55,330000,1998,West Virginia,120.7
WV,7000,54,378000,2000,West Virginia,130.0
WV,7000,65,455000,2001,West Virginia,62.0
WV,8000,47,376000,2003,West Virginia,185.9
WV,8000,51,408000,2005,West Virginia,609.3
WV,9000,51,459000,2002,West Virginia,82.3
WV,9000,55,495000,2004,West Virginia,412.5
WY,38000,36,1368000,1995,Wyoming,0
WY,38000,62,2356000,1997,Wyoming,52.3
WY,40000,73,2920000,1996,Wyoming,0
WY,34000,36,1224000,2010,Wyoming,1548.1
WY,35000,54,1890000,2011,Wyoming,1192.5
WY,37000,48,1776000,2009,Wyoming,1508.1
WY,37000,72,2664000,1999,Wyoming,23.2
WY,38000,61,2318000,2014,Wyoming,2086.3
WY,38000,63,2394000,2002,Wyoming,67.4
WY,38000,77,2926000,2015,Wyoming,133.4
WY,38000,77,2926000,2001,Wyoming,193.1
WY,39000,61,2379000,2008,Wyoming,1294.0
WY,39000,75,2925000,2004,Wyoming,425.1
WY,39000,81,3159000,2003,Wyoming,54.1
WY,39000,85,3315000,2006,Wyoming,333.7
WY,39000,93,3627000,2000,Wyoming,44.5
WY,40000,56,2240000,2005,Wyoming,386.9
WY,40000,68,2720000,2016,Wyoming,36.9
WY,43000,80,3440000,2007,Wyoming,396.8
WY,46000,60,2760000,1998,Wyoming,91.2
WY,47000,66,3102000,2013,Wyoming,1523.0
WY,50000,51,2550000,2012,Wyoming,1875.2
